No,English,Japanese,Chapter
1,abandon,放棄する、あきらめる、捨てる,1
2,abdominal,腹部の、腹筋,1
3,abhor,忌み嫌う、憎悪する,1
4,abide,従う、我慢する、住む,1
5,ability,能力,1
6,able,できる、有能な、能力のある,1
7,abolish,廃止する、撤廃する,1
8,aboriginal,原生の、先住の、アボリジニの,1
9,abortion,妊娠中絶,1
10,abound,豊富である、～で満ちている,1
11,above,上(方)に、前述の,1
12,abrupt,突然の、ぶっきらぼうな,1
13,abruptly,不意に、突然,1
14,absent,欠席して,1
15,absolute,絶対的な、完全な、全くの,1
16,absolutely,まったく、（返事）まったくその通りだ、絶対に,1
17,absorb,吸収する、夢中にさせる、理解する,1
18,absorption,没頭(in)、吸収,1
19,abstain,控える、棄権する,1
20,abstract,抽象的な,1
21,absurd,ばかげた、不合理な,1
22,abundant,豊富な、～に富む,1
23,abuse,乱用(する)、虐待(する)、誤用(する),1
24,academic,学問の、学究的な、学園の、大学（教育）の,1
25,academy,（大学などの）高等教育機関、専門学校,1
26,accelerate,加速させる、促進する、加速する,1
27,accent,なまり、アクセント,1
28,accept,受け取る、受け入れる、認める,1
29,access,利用、入手、接近（の機会・方法・権利）、アクセスする,1
30,accessory,補助的な、付随する、[複]付属品,1
31,accident,(偶然の)事故、事件； 偶然,1
32,accidental,偶然の、過失による,1
33,accidentally,誤って、うっかり、偶然にも,1
34,accommodate,収容する、宿泊させる、適応させる,1
35,accompany,同行する、一緒に行く、随して起こる,1
36,accomplish,成し遂げる、達成する,1
37,accord,"一致、合意、協定、一致する, 調和する",1
38,according,一致して、したがって,1
39,accordingly,それに応じて、それ相応に、したがって,1
40,account,占める、説明する、原因となる、説明、勘定、口座,1
41,accountable,（説明する）責任がある、説明可能な、理解できる,1
42,accumulate,蓄積する、集める、積もる,1
43,accuracy,正確さ、精度,1
44,accurate,正確な、精密な、狂いのない,1
45,accuse,訴える、非難する,1
46,accustom,（人）を慣れさせる,1
47,accustomed,慣れている,1
48,ache,痛む、切望する,1
49,achieve,達成する、成し遂げる、獲得する,1
50,achievement,学業（成績）、業績、達成,1
51,acid,酸、酸性の、酸味の、批判的な,1
52,acknowledge,（事実など）を認める、に謝意を表す,1
53,acknowledgment,感謝（のしるし）、承認、白状,1
54,acoustic,音響の、聴覚の、（楽器が）アコースティックの,1
55,acquaint,(詳しく)を知らせる、を知り合いにさせる,1
56,acquaintance,知人、知り合い、面識、知識、交際,1
57,acquainted,知り合いである,1
58,acquire,獲得する、習得する,1
59,acre,エーカー（約4047㎡),1
60,act,行動する； 行動； 法令,1
61,action,行動、おこない、アクション,1
62,active,積極的な、能動的な、活動している、有効な,1
63,actively,積極的に、活発に,1
64,activist,活動家,1
65,activity,活動,1
66,actual,実際の、現実の,1
67,actually,実際に、（意外だが）実は、本当は,1
